,dz_gb,N2_glob,zs_sig0,zs_sig1,zs_sig2,zs_sig3,zs_sig4,SSD_mean,SST_mean,SSS_mean,OBC,OHC,OSC
2006-04-16 00:00:00,0.692799907158766,8.436520179812697e-06,0.5261593004412555,0.615804433960301,0.7029110207618516,0.7870953777484825,0.8680477524115201,24.317738660060954,18.52133,34.755096,1.31851243722241e+19,-3.5766515e+19,-3.763122e+17
2006-05-16 12:00:00,0.6925753860284976,8.363521138406073e-06,0.5259922572515441,0.6155986119916426,0.7026674801077806,0.7868153498057511,0.8677326119815172,24.34341725657285,18.423151,34.75923,1.3185123264284684e+19,-3.577046e+19,-3.7629267e+17
2006-06-16 00:00:00,0.6909719481637517,8.288826249618838e-06,0.5245810615341523,0.6140645180792141,0.7010139617625253,0.7850463382147161,0.8658523620371217,24.370119493229282,18.335966,34.749184,1.3185114539495834e+19,-3.578745e+19,-3.763772e+17
2006-07-16 12:00:00,0.689105910737197,8.314710159193425e-06,0.5229468453662695,0.6122824318257473,0.699088209309412,0.7829816687449364,0.8636539079009883,24.355366444015903,18.364431,34.720707,1.31851045255811e+19,-3.580794e+19,-3.7657466e+17
2006-08-16 12:00:00,0.6883693034728344,8.416542782727168e-06,0.5223672583222088,0.6116001663975745,0.6983061689789279,0.7821031785466742,0.8626826242899301,24.31089933655097,18.468077,34.695393,1.3185100742966252e+19,-3.5819984e+19,-3.76722e+17
2006-09-16 00:00:00,0.6885393991279357,8.4165386722349e-06,0.5225907571375201,0.6117847206469166,0.6984528558719381,0.782213270246316,0.8627575729408308,24.308592613136483,18.424957,34.688984,1.318510197250961e+19,-3.5821832e+19,-3.7674635e+17
2006-10-16 12:00:00,0.6892143961567023,8.306438494609709e-06,0.5232129614152872,0.6124392842184805,0.6991388465653098,0.7829296393211068,0.8635031989646587,24.35209883036931,18.24963,34.699375,1.3185105811481053e+19,-3.5815837e+19,-3.7675116e+17
2006-11-16 00:00:00,0.6900771473340427,8.286821841989861e-06,0.5239293825811847,0.6132531223209675,0.7000473492750104,0.7839296474143366,0.8645912337430585,24.362969787565245,18.225666,34.70909,1.3185110213696987e+19,-3.5804033e+19,-3.767128e+17
2006-12-16 12:00:00,0.6904339993287167,8.314541991088312e-06,0.5241346969036352,0.6135639511251576,0.7004607587829685,0.7844422241813174,0.8651991549821224,24.35715973282688,18.33739,34.72463,1.3185111386892184e+19,-3.5794517e+19,-3.7668172e+17
2007-01-16 12:00:00,0.6904312821621136,8.35591645742437e-06,0.5240178876685565,0.6135249743086361,0.7004974636433767,0.7845520961846317,0.865379358915537,24.34707395078633,18.468063,34.740273,1.3185110742004711e+19,-3.5788226e+19,-3.765963e+17
2007-02-15 00:00:00,0.6912259410986902,8.44651414898867e-06,0.5246939802352829,0.614276241220979,0.701321787749563,0.7854470732018269,0.8663423718150127,24.315213529279575,18.60797,34.748093,1.318511482506157e+19,-3.5778337e+19,-3.7650786e+17
2007-03-16 12:00:00,0.6922587162678578,8.446976221222553e-06,0.525640798780433,0.6152718771444371,0.7023648405543228,0.7865359996067929,0.8674755568324999,24.314880569344297,18.582998,34.755547,1.318512056783932e+19,-3.576911e+19,-3.7640712e+17
2007-04-16 00:00:00,0.6929581593376004,8.41440665690286e-06,0.5263096358024811,0.6159506854180334,0.7030532958979969,0.7872337933514061,0.8681824328497965,24.325338460724744,18.486303,34.757984,1.3185124753857022e+19,-3.5764283e+19,-3.763229e+17
2007-05-16 12:00:00,0.6925160099783672,8.325573798774265e-06,0.5259428652055426,0.6155282070336509,0.7025766555615454,0.7867047738761236,0.8676030079933421,24.35723534732722,18.35111,34.757446,1.318512264975322e+19,-3.5769748e+19,-3.762823e+17
2007-06-16 00:00:00,0.6910115935562309,8.279913652736392e-06,0.5246164298646561,0.6140876191322057,0.7010251445060477,0.785045995021121,0.8658409178975164,24.3727663270221,18.30116,34.745632,1.318511443392859e+19,-3.5785827e+19,-3.763584e+17
2007-07-16 12:00:00,0.6892682545302895,8.295892931020998e-06,0.5230875602841215,0.6124228859462563,0.6992284071128558,0.7831216120191344,0.8637935962241224,24.36418363819036,18.314634,34.71719,1.3185104994328494e+19,-3.580542e+19,-3.7655332e+17
2007-08-16 12:00:00,0.6882390147238504,8.340104996534953e-06,0.5222294439943471,0.6114530986918852,0.698150119643406,0.7819384413391258,0.8625094988910197,24.34248996638758,18.364439,34.696342,1.318509960631849e+19,-3.5819336e+19,-3.7669213e+17
2007-09-16 00:00:00,0.6883015905752721,8.321393881729196e-06,0.5223474341175482,0.6115305077714543,0.6981880859742554,0.7819382960554667,0.8624727458030439,24.346843200363097,18.30413,34.690796,1.3185100323893527e+19,-3.5821832e+19,-3.7672306e+17
2007-10-16 12:00:00,0.6889498449151302,8.194590920761192e-06,0.5229414991036418,0.6121568891429288,0.6988458552162268,0.7826264043035133,0.8631900672190941,24.396725925709163,18.099451,34.702156,1.31851041527684e+19,-3.581568e+19,-3.7672498e+17
2007-11-16 00:00:00,0.6896242078130704,8.104342163930721e-06,0.5234762334692302,0.6127846714751092,0.699564065633022,0.783432014056945,0.8640797160431839,24.436068411127366,17.997086,34.7198,1.3185107630643956e+19,-3.5804954e+19,-3.7670316e+17
2007-12-16 12:00:00,0.6897594750959971,8.103503442102673e-06,0.523480340974433,0.6128789854675175,0.6997460798931381,0.7836987954921375,0.864427957794749,24.441129486625425,18.048159,34.730274,1.318510780689471e+19,-3.5796901e+19,-3.766727e+17
2008-01-16 12:00:00,0.6900751040622464,8.206856309092906e-06,0.5236594998511438,0.6131500626791173,0.7001065300485488,0.7841456586701833,0.8649579219729826,24.40707698019499,18.241388,34.734886,1.3185109022168562e+19,-3.5788046e+19,-3.766241e+17
2008-02-15 12:00:00,0.6908842688887633,8.310201445198686e-06,0.5243435299401314,0.6139133759435595,0.7009468980785573,0.7850605480305263,0.8659445731763349,24.370863860529106,18.400778,34.74356,1.3185113205975538e+19,-3.5777633e+19,-3.76509e+17
2008-03-16 12:00:00,0.6920505993650795,8.376321873009351e-06,0.5254156141039551,0.6150389219041177,0.7021243655722105,0.7862882437885849,0.867220731240942,24.345239244786082,18.454905,34.74882,1.3185119751641174e+19,-3.576735e+19,-3.763895e+17
2008-04-16 00:00:00,0.6928561991909862,8.35284165347813e-06,0.5261819626836897,0.615822743938697,0.7029251223811092,0.7871053888571024,0.8680537566408844,24.351730888009904,18.390938,34.754467,1.3185124343094831e+19,-3.576173e+19,-3.762817e+17
2008-05-16 12:00:00,0.6925456019601908,8.280443622849976e-06,0.5259333361937293,0.6155324687525686,0.702594351640725,0.7867354532315148,0.8676461299724433,24.377883724868862,18.29711,34.75826,1.318512262974127e+19,-3.5766671e+19,-3.7627394e+17
2008-06-16 00:00:00,0.690962010192866,8.226620514872133e-06,0.5245272674956206,0.6140150494088544,0.7009687362785396,0.7850052039173211,0.8658150895995129,24.39698718205837,18.2437,34.74756,1.3185113847598522e+19,-3.5783228e+19,-3.7636256e+17
2008-07-16 12:00:00,0.6894172845078631,8.295038360797368e-06,0.5231900871875773,0.6125476701001059,0.6993748512927566,0.7832889963465409,0.8639810930596769,24.36576300553862,18.328224,34.71785,1.318510543227482e+19,-3.580168e+19,-3.7656115e+17
2008-08-16 12:00:00,0.6887020729172334,8.374623786051668e-06,0.5226260514930791,0.6118857141620438,0.6986177401965291,0.7824399005940518,0.8630435023761212,24.329457452123584,18.42453,34.69932,1.318510178312246e+19,-3.5813447e+19,-3.76704e+17
2008-09-16 00:00:00,0.6889678877761404,8.360550966924189e-06,0.5229369843337791,0.6121620624078514,0.6988604612296355,0.7826501320349509,0.8632225523055057,24.33047578694674,18.37071,34.693798,1.3185103645163817e+19,-3.5814764e+19,-3.7675405e+17
2008-10-16 12:00:00,0.6897977059388506,8.262739282601497e-06,0.5236991997859871,0.6129631083824202,0.6996992212629157,0.7835253575041067,0.8641329165759245,24.36763178493345,18.203642,34.70282,1.3185108435359373e+19,-3.5807259e+19,-3.7674608e+17
2008-11-16 00:00:00,0.6904675968064019,8.176571439924469e-06,0.524237950464485,0.6135872116358523,0.7004062707844068,0.7843125809738283,0.8649972489844251,24.40423256403551,18.109669,34.721626,1.3185112023609184e+19,-3.5796844e+19,-3.7671715e+17
2008-12-16 12:00:00,0.6907272933967764,8.189092835633433e-06,0.5243488142495321,0.6138019922815623,0.7007220695612151,0.7847260183205268,0.8655045302286716,24.405026061809618,18.191969,34.73376,1.3185112830742067e+19,-3.5787676e+19,-3.766951e+17
2009-01-16 12:00:00,0.6911550786768954,8.29658761043051e-06,0.5246236425723018,0.6141801200479297,0.7012006183957052,0.7853016487821546,0.8661735136193148,24.370532574590154,18.385439,34.735737,1.3185114418589714e+19,-3.5777833e+19,-3.766485e+17
2009-02-15 00:00:00,0.6918370237685694,8.382902664312663e-06,0.5251908291399454,0.614818921564147,0.7019090217737365,0.7860773637283035,0.8670140411118681,24.340709430604733,18.510246,34.741257,1.3185117794981548e+19,-3.5768666e+19,-3.7654006e+17
2009-03-16 12:00:00,0.6931768869984839,8.444291227391819e-06,0.5264141955565201,0.6161111099826272,0.7032680575729315,0.7875010609540953,0.8685000978107293,24.314841287147374,18.556147,34.74463,1.3185125163624905e+19,-3.5756826e+19,-3.7643182e+17
2009-04-16 00:00:00,0.6940541991633846,8.422295965301575e-06,0.527242993710837,0.616963564172715,0.7041434513198804,0.7883986445291333,0.8694191413237367,24.32104909299303,18.49316,34.752296,1.3185130129669392e+19,-3.575038e+19,-3.7631847e+17
2009-05-16 12:00:00,0.6938343743279239,8.364680195948758e-06,0.5270838000632844,0.6167616564601934,0.7039000041404844,0.7881150244124489,0.8690968764894984,24.34111855885096,18.416533,34.75737,1.3185129034046118e+19,-3.575468e+19,-3.7629607e+17
2009-06-16 00:00:00,0.6926749559332859,8.345103060705282e-06,0.526076354881102,0.615658762691095,0.7027043546998487,0.7868296767406929,0.8677251520463986,24.34576091193027,18.422813,34.75289,1.3185122604803942e+19,-3.5768272e+19,-3.7637345e+17
2009-07-16 12:00:00,0.6910586064267863,8.38021942667202e-06,0.5246735171225282,0.6141217526529326,0.7010369816661524,0.7850362518417083,0.8658103433354275,24.327540838672306,18.460064,34.726883,1.3185113773895565e+19,-3.5787472e+19,-3.7657184e+17
2009-08-16 12:00:00,0.6902192476248626,8.444897020312266e-06,0.5239922081509564,0.6133362400272521,0.7001502186843619,0.7840516123805233,0.8647315251962483,24.29762335952935,18.51703,34.701168,1.3185109439177929e+19,-3.5800125e+19,-3.7673907e+17
2009-09-16 00:00:00,0.6904050613262398,8.409759232453637e-06,0.5242266572477985,0.6135350632728029,0.7003144088102101,0.7841823385241088,0.8648301190053201,24.307815702270414,18.436972,34.697968,1.3185110739980472e+19,-3.5802146e+19,-3.7679325e+17
2009-10-16 12:00:00,0.6912752691597422,8.341948699818176e-06,0.5250316241668981,0.6143797584225277,0.7011976835665998,0.7851029071599198,0.8657866147972995,24.334967891937897,18.31479,34.70605,1.3185115778062897e+19,-3.5794647e+19,-3.76804e+17
2009-11-16 00:00:00,0.6918847403411951,8.287365761421388e-06,0.5255217088586395,0.6149511058249107,0.7018480019644208,0.7858295536094174,0.8665866639160996,24.360890527093535,18.256958,34.72209,1.3185118722253914e+19,-3.5785625e+19,-3.7677233e+17
2009-12-16 12:00:00,0.6922934724726404,8.329830948560024e-06,0.5257859210629323,0.6153157541239698,0.7023102863508696,0.7863862223955832,0.8672340837073376,24.349431677803903,18.3945,34.739285,1.3185120243215868e+19,-3.5776556e+19,-3.767493e+17
2010-01-16 12:00:00,0.6924116953330645,8.39550371048964e-06,0.5257737743109694,0.6153950891183437,0.7024785608152148,0.7866404782978998,0.8675710025089156,24.3303586741747,18.560658,34.75167,1.3185119944452123e+19,-3.5769391e+19,-3.766661e+17
