time,depth,N2_mean,CoM
1994-02-15 00:00:00,1993.0,1.702506623758247e-05,0.347362803346214
1994-03-16 12:00:00,1993.0,1.7136713932275924e-05,0.3484063552860228
1994-04-16 00:00:00,1993.0,1.7081190893420623e-05,0.34909131824122996
1994-05-16 12:00:00,1993.0,1.691236206875581e-05,0.34871176336551846
1994-06-16 00:00:00,1993.0,1.6733502391802693e-05,0.34734640509400727
1994-07-16 12:00:00,1993.0,1.6801870474913458e-05,0.3459753078026679
1994-08-16 12:00:00,1993.0,1.702143042337548e-05,0.34541750547734795
1994-09-16 00:00:00,1993.0,1.7027983096972784e-05,0.3456904335819585
1994-10-16 12:00:00,1993.0,1.6916046278658296e-05,0.34666682751553346
1994-11-16 00:00:00,1993.0,1.6800290516812767e-05,0.347254823948765
1994-12-16 12:00:00,1993.0,1.681755983210984e-05,0.3474432796890407
1995-01-16 12:00:00,1993.0,1.702269000649817e-05,0.3477322544617169
1995-02-15 00:00:00,1993.0,1.7244341264922194e-05,0.3484246255067664
1995-03-16 12:00:00,1993.0,1.7308968876351016e-05,0.3494447071671317
1995-04-16 00:00:00,1993.0,1.722787570510939e-05,0.35003998634477596
1995-05-16 12:00:00,1993.0,1.703122104068226e-05,0.3495863010506839
1995-06-16 00:00:00,1993.0,1.690271013367449e-05,0.3483660089661233
1995-07-16 12:00:00,1993.0,1.7014850937395332e-05,0.34726912234126606
1995-08-16 12:00:00,1993.0,1.710174186241687e-05,0.34652645868476717
1995-09-16 00:00:00,1993.0,1.703273156342395e-05,0.34660130076082074
1995-10-16 12:00:00,1993.0,1.6855656604000314e-05,0.3472862773605658
1995-11-16 00:00:00,1993.0,1.6715332806125877e-05,0.34783021620963844
1995-12-16 12:00:00,1993.0,1.676362554861456e-05,0.3481963224423896
1996-01-16 12:00:00,1993.0,1.6992037599105303e-05,0.3484716889779598
1996-02-15 12:00:00,1993.0,1.7224637059600723e-05,0.3492068890185266
1996-03-16 12:00:00,1993.0,1.7277052768381875e-05,0.35008634351454543
1996-04-16 00:00:00,1993.0,1.7172789021187688e-05,0.35075324176528605
1996-05-16 12:00:00,1993.0,1.699771806697988e-05,0.3504045139478008
1996-06-16 00:00:00,1993.0,1.6877781943810518e-05,0.34912610488978374
1996-07-16 12:00:00,1993.0,1.692817731560484e-05,0.3477904015332368
1996-08-16 12:00:00,1993.0,1.7059578604799497e-05,0.3471026383718177
1996-09-16 00:00:00,1993.0,1.7025516148760916e-05,0.3474226961751438
1996-10-16 12:00:00,1993.0,1.6759813748769462e-05,0.34800851021611295
1996-11-16 00:00:00,1993.0,1.6600587367699753e-05,0.34847309709742125
1996-12-16 12:00:00,1993.0,1.665209714371211e-05,0.3487867425392885
1997-01-16 12:00:00,1993.0,1.6866794193763773e-05,0.3491510350578516
1997-02-15 00:00:00,1993.0,1.708176131260862e-05,0.3498753449194733
1997-03-16 12:00:00,1993.0,1.7230350623794385e-05,0.3508687360128951
1997-04-16 00:00:00,1993.0,1.722725704020071e-05,0.35168604968791417
1997-05-16 12:00:00,1993.0,1.7116821593442426e-05,0.3513551695132658
1997-06-16 00:00:00,1993.0,1.7043508502557616e-05,0.35024583236838913
1997-07-16 12:00:00,1993.0,1.7194369233736375e-05,0.34885716940075373
1997-08-16 12:00:00,1993.0,1.7353839066949345e-05,0.34826722969066176
1997-09-16 00:00:00,1993.0,1.7391027516409947e-05,0.34874868596037306
1997-10-16 12:00:00,1993.0,1.7250230046297826e-05,0.34952502371932304
1997-11-16 00:00:00,1993.0,1.717854936986174e-05,0.3502499868375934
1997-12-16 12:00:00,1993.0,1.72844513890073e-05,0.35067629123037164
1998-01-16 12:00:00,1993.0,1.7391339470811226e-05,0.35076517305208677
1998-02-15 00:00:00,1993.0,1.7538878265480833e-05,0.3511513448777998
1998-03-16 12:00:00,1993.0,1.761932739515663e-05,0.3519743050939114
1998-04-16 00:00:00,1993.0,1.753891273037065e-05,0.352185459419237
1998-05-16 12:00:00,1993.0,1.73685856748592e-05,0.35180650035085503
1998-06-16 00:00:00,1993.0,1.7144975924378498e-05,0.3505751000997581
1998-07-16 12:00:00,1993.0,1.7153327052300054e-05,0.3491306995054809
1998-08-16 12:00:00,1993.0,1.729069640603722e-05,0.34846768914490805
1998-09-16 00:00:00,1993.0,1.7158168997210453e-05,0.3485259332515963
1998-10-16 12:00:00,1993.0,1.6903530804847512e-05,0.34900743964915903
1998-11-16 00:00:00,1993.0,1.675284271374611e-05,0.3495885471338753
1998-12-16 12:00:00,1993.0,1.6713997443849355e-05,0.34959016892875244
1999-01-16 12:00:00,1993.0,1.687319842621964e-05,0.3496854289822233
1999-02-15 00:00:00,1993.0,1.705072196494157e-05,0.3501748011932146
1999-03-16 12:00:00,1993.0,1.7199966309602453e-05,0.3512912807465679
1999-04-16 00:00:00,1993.0,1.7078871873367216e-05,0.35185994679847515
1999-05-16 12:00:00,1993.0,1.687803481855252e-05,0.3514480764078803
1999-06-16 00:00:00,1993.0,1.6728837083698317e-05,0.35023014167235494
1999-07-16 12:00:00,1993.0,1.680562299208094e-05,0.3488433558995855
1999-08-16 12:00:00,1993.0,1.6967398684735445e-05,0.34818908073168847
1999-09-16 00:00:00,1993.0,1.6918652282479714e-05,0.3483693383057545
1999-10-16 12:00:00,1993.0,1.670195619966416e-05,0.3489624432909014
1999-11-16 00:00:00,1993.0,1.6565842593840195e-05,0.3494733953592881
1999-12-16 12:00:00,1993.0,1.658913776480889e-05,0.3496133092962343
2000-01-16 12:00:00,1993.0,1.6866570284844085e-05,0.35002889510721463
2000-02-15 12:00:00,1993.0,1.7065337322692653e-05,0.35053952623285356
2000-03-16 12:00:00,1993.0,1.7138071202796986e-05,0.35145992970416884
2000-04-16 00:00:00,1993.0,1.71290881423576e-05,0.35217751396145947
2000-05-16 12:00:00,1993.0,1.693819794088154e-05,0.35185389820955804
2000-06-16 00:00:00,1993.0,1.6725760989579026e-05,0.35054255744790447
2000-07-16 12:00:00,1993.0,1.6825931430723734e-05,0.34932636360328484
2000-08-16 12:00:00,1993.0,1.7039852384027443e-05,0.348942976246321
2000-09-16 00:00:00,1993.0,1.7024694271932884e-05,0.3493072497040284
2000-10-16 12:00:00,1993.0,1.682150169200529e-05,0.34994450411083594
2000-11-16 00:00:00,1993.0,1.6714285248405482e-05,0.350551778915123
2000-12-16 12:00:00,1993.0,1.673875083984172e-05,0.35075504612139335
2001-01-16 12:00:00,1993.0,1.69682831854531e-05,0.35107964625901333
2001-02-15 00:00:00,1993.0,1.7159722136906506e-05,0.35166361467239343
2001-03-16 12:00:00,1993.0,1.7363928433331364e-05,0.35286531058260145
2001-04-16 00:00:00,1993.0,1.727845287958322e-05,0.35357904536772633
2001-05-16 12:00:00,1993.0,1.7078038893746434e-05,0.3533156691144561
2001-06-16 00:00:00,1993.0,1.6968474480939213e-05,0.35225228468328273
2001-07-16 12:00:00,1993.0,1.7011869221174225e-05,0.3509637582952407
2001-08-16 12:00:00,1993.0,1.7137498014249562e-05,0.3502676483085967
2001-09-16 00:00:00,1993.0,1.716843678898705e-05,0.3506796851622076
2001-10-16 12:00:00,1993.0,1.6944050613718046e-05,0.3512713974356882
2001-11-16 00:00:00,1993.0,1.681162253053703e-05,0.3517529720192844
2001-12-16 12:00:00,1993.0,1.6854345827417113e-05,0.3518930736713027
2002-01-16 12:00:00,1993.0,1.7129904856157736e-05,0.35217422936339204
2002-02-15 00:00:00,1993.0,1.729617655738052e-05,0.352755517596899
2002-03-16 12:00:00,1993.0,1.7432409436065217e-05,0.3537862217596825
2002-04-16 00:00:00,1993.0,1.7348911828894173e-05,0.35435763591705927
2002-05-16 12:00:00,1993.0,1.713563364978858e-05,0.3538982222516514
2002-06-16 00:00:00,1993.0,1.698917164454607e-05,0.3525317318755762
2002-07-16 12:00:00,1993.0,1.698824449428665e-05,0.35100405710899973
2002-08-16 12:00:00,1993.0,1.7145574681580914e-05,0.3502768251566508
2002-09-16 00:00:00,1993.0,1.712800491239524e-05,0.35044371091935467
2002-10-16 12:00:00,1993.0,1.7045534784472033e-05,0.3513522579619158
2002-11-16 00:00:00,1993.0,1.6917422473087656e-05,0.35186571299196207
2002-12-16 12:00:00,1993.0,1.6945686873405604e-05,0.35204587962590594
2003-01-16 12:00:00,1993.0,1.7146023442497406e-05,0.3522866333412806
2003-02-15 00:00:00,1993.0,1.7322824737146477e-05,0.35285661257610873
2003-03-16 12:00:00,1993.0,1.741635737763465e-05,0.3538267824801971
2003-04-16 00:00:00,1993.0,1.7326578218759687e-05,0.3543982465437253
2003-05-16 12:00:00,1993.0,1.7098206080175292e-05,0.35397383614287486
2003-06-16 00:00:00,1993.0,1.7025202217762392e-05,0.35286961153750074
2003-07-16 12:00:00,1993.0,1.7156428919389704e-05,0.3514696177716248
2003-08-16 12:00:00,1993.0,1.7331953113892827e-05,0.35087847055303056
2003-09-16 00:00:00,1993.0,1.7312720491432232e-05,0.35118952720795393
2003-10-16 12:00:00,1993.0,1.7106993478348008e-05,0.35189968120295223
2003-11-16 00:00:00,1993.0,1.6962602549470417e-05,0.35241232552325835
2003-12-16 12:00:00,1993.0,1.698463354062636e-05,0.35260059902602303
2004-01-16 12:00:00,1993.0,1.7147706432128076e-05,0.3528204707025344
2004-02-15 12:00:00,1993.0,1.73579504019201e-05,0.3535356863294345
2004-03-16 12:00:00,1993.0,1.7343826099988586e-05,0.35432505553793975
2004-04-16 00:00:00,1993.0,1.73196873521089e-05,0.3550713597560106
2004-05-16 12:00:00,1993.0,1.7044018021188753e-05,0.3545638566973742
2004-06-16 00:00:00,1993.0,1.6878093949525975e-05,0.3531051272425229
2004-07-16 12:00:00,1993.0,1.7048315695298892e-05,0.35182326314600637
2004-08-16 12:00:00,1993.0,1.7237218263776604e-05,0.3512255484464759
2004-09-16 00:00:00,1993.0,1.7228473932747358e-05,0.35148583483293633
2004-10-16 12:00:00,1993.0,1.7019949147899593e-05,0.35211491604362866
2004-11-16 00:00:00,1993.0,1.6939141201039954e-05,0.3527495136783019
2004-12-16 12:00:00,1993.0,1.7014969563165912e-05,0.3530998916309592
2005-01-16 12:00:00,1993.0,1.7199745765711778e-05,0.3532826693688233
2005-02-15 00:00:00,1993.0,1.733518782211203e-05,0.35377181794472395
2005-03-16 12:00:00,1993.0,1.7468710929370596e-05,0.3547169047830465
2005-04-16 00:00:00,1993.0,1.7335822753232903e-05,0.3551377762898115
2005-05-16 12:00:00,1993.0,1.7194327489406492e-05,0.35484260857469513
2005-06-16 00:00:00,1993.0,1.7061478140563273e-05,0.35355676433690103
2005-07-16 12:00:00,1993.0,1.7143286016088046e-05,0.35215614876620377
2005-08-16 12:00:00,1993.0,1.7307440162763153e-05,0.3514990125552172
2005-09-16 00:00:00,1993.0,1.7189615940218064e-05,0.3514447589634897
2005-10-16 12:00:00,1993.0,1.6981939218713364e-05,0.3520576953449562
2005-11-16 00:00:00,1993.0,1.680480625953169e-05,0.3524973429565375
2005-12-16 12:00:00,1993.0,1.6855787857213307e-05,0.3527417260333296
2006-01-16 12:00:00,1993.0,1.7052387528950172e-05,0.3529871318604135
2006-02-15 00:00:00,1993.0,1.7242829740674398e-05,0.3535471337547921
2006-03-16 12:00:00,1993.0,1.7345482431126014e-05,0.35470579392985996
2006-04-16 00:00:00,1993.0,1.7311617206417998e-05,0.35544615780165995
2006-05-16 12:00:00,1993.0,1.7154804629468457e-05,0.3552749475897308
2006-06-16 00:00:00,1993.0,1.6994356790397306e-05,0.35391498698711704
2006-07-16 12:00:00,1993.0,1.7049786328154688e-05,0.3523273644514138
2006-08-16 12:00:00,1993.0,1.726843572073406e-05,0.35176867685706026
2006-09-16 00:00:00,1993.0,1.7268350662693762e-05,0.35196431236903614
2006-10-16 12:00:00,1993.0,1.7031898764399994e-05,0.35252175688874643
2006-11-16 00:00:00,1993.0,1.698974828923213e-05,0.3532077215637907
2006-12-16 12:00:00,1993.0,1.704926237518488e-05,0.35344513127396465
2007-01-16 12:00:00,1993.0,1.7137917868895946e-05,0.35334371974423595
2007-02-15 00:00:00,1993.0,1.73323621934307e-05,0.3539922164846745
2007-03-16 12:00:00,1993.0,1.7333337109189625e-05,0.3548749952774614
2007-04-16 00:00:00,1993.0,1.726329207843227e-05,0.3554635553449434
2007-05-16 12:00:00,1993.0,1.7072463972137693e-05,0.3550525386107494
2007-06-16 00:00:00,1993.0,1.6974399055338738e-05,0.3537723582642361
2007-07-16 12:00:00,1993.0,1.7008681593041414e-05,0.3522877960846251
2007-08-16 12:00:00,1993.0,1.7103654208866633e-05,0.35144931449338385
2007-09-16 00:00:00,1993.0,1.706343943751705e-05,0.351524741556154
2007-10-16 12:00:00,1993.0,1.6791081306376605e-05,0.35203015908095403
2007-11-16 00:00:00,1993.0,1.659732741811983e-05,0.35250758436622076
2007-12-16 12:00:00,1993.0,1.6595411457625464e-05,0.3525106687542887
2008-01-16 12:00:00,1993.0,1.6817180143629585e-05,0.35268093148877444
2008-02-15 12:00:00,1993.0,1.703887874808652e-05,0.35333672355496215
2008-03-16 12:00:00,1993.0,1.71808260371111e-05,0.35433975460211986
2008-04-16 00:00:00,1993.0,1.7130319962395897e-05,0.3550578415585006
2008-05-16 12:00:00,1993.0,1.6974804916492393e-05,0.35482615009002316
2008-06-16 00:00:00,1993.0,1.685912215629048e-05,0.35349997871877337
2008-07-16 12:00:00,1993.0,1.7006005394342995e-05,0.3522353088299019
2008-08-16 12:00:00,1993.0,1.717686897745141e-05,0.3516861347403459
2008-09-16 00:00:00,1993.0,1.7146606181353057e-05,0.35194172597792106
2008-10-16 12:00:00,1993.0,1.6936513577048997e-05,0.3526162588122124
2008-11-16 00:00:00,1993.0,1.6751443716345367e-05,0.35308583830487805
2008-12-16 12:00:00,1993.0,1.6778199626397858e-05,0.353201458648606
2009-01-16 12:00:00,1993.0,1.700893370944515e-05,0.35350254268108716
2009-02-15 00:00:00,1993.0,1.719417924643129e-05,0.35406325571599295
2009-03-16 12:00:00,1993.0,1.7325854066627534e-05,0.35523399844075754
2009-04-16 00:00:00,1993.0,1.7278599437248804e-05,0.3560162080221451
2009-05-16 12:00:00,1993.0,1.7154824123341248e-05,0.35586063939483537
2009-06-16 00:00:00,1993.0,1.711272627028248e-05,0.3549191335269989
2009-07-16 12:00:00,1993.0,1.718820360541559e-05,0.353587750292482
2009-08-16 12:00:00,1993.0,1.7326975927341568e-05,0.3529175116795917
2009-09-16 00:00:00,1993.0,1.7251524719145702e-05,0.35311508336593883
2009-10-16 12:00:00,1993.0,1.7105799760694048e-05,0.35383497385186713
2009-11-16 00:00:00,1993.0,1.6988621349158463e-05,0.3543143016484202
2009-12-16 12:00:00,1993.0,1.70796404963114e-05,0.3546069586756622
2010-01-16 12:00:00,1993.0,1.7220517695950603e-05,0.3546688988192072
2010-02-15 00:00:00,1993.0,1.742522920165487e-05,0.3551302673583297
2010-03-16 12:00:00,1993.0,1.7509189610742693e-05,0.3559928793364276
2010-04-16 00:00:00,1993.0,1.7463493422872448e-05,0.3565789914565463
2010-05-16 12:00:00,1993.0,1.7233653589486327e-05,0.3560482298507614
2010-06-16 00:00:00,1993.0,1.7046911971970037e-05,0.354604943167837
2010-07-16 12:00:00,1993.0,1.7064458220749465e-05,0.35289738964142847
2010-08-16 12:00:00,1993.0,1.7175109047500888e-05,0.35194984565120185
2010-09-16 00:00:00,1993.0,1.7092353813370124e-05,0.3519807682874858
2010-10-16 12:00:00,1993.0,1.6818958730488435e-05,0.35253819652721563
2010-11-16 00:00:00,1993.0,1.6646928162233428e-05,0.3529726708513731
2010-12-16 12:00:00,1993.0,1.6679223911090895e-05,0.353096976301802
